| Train set options | Learning rate | P@1=nDCG@1 | P@3 | P@5 | nDCG@3 | nDCG@5 |
| --- | --- | --- | --- | --- | --- | --- |
| lr1e-4 | 0.0001 | 0.420 ± 0.109 | 0.313 ± 0.082 | 0.254 ± 0.055 | 0.338 ± 0.089 | 0.339 ± 0.078 |
| lr5e-4 | 0.0005 | 0.659 ± 0.072 | 0.510 ± 0.049 | 0.400 ± 0.031 | 0.550 ± 0.049 | 0.543 ± 0.043 |
| lr1e-3 | 0.001 | 0.690 ± 0.039 | 0.550 ± 0.037 | 0.431 ± 0.031 | 0.590 ± 0.037 | 0.582 ± 0.037 |
| lr1.5e-3 | 0.0015 | 0.709 ± 0.034 | 0.563 ± 0.025 | 0.444 ± 0.018 | 0.603 ± 0.027 | 0.598 ± 0.027 |
| lr2e-3 | 0.002 | 0.718 ± 0.028 | 0.564 ± 0.033 | 0.442 ± 0.030 | 0.604 ± 0.030 | 0.597 ± 0.031 |
| lr2.5e-3 | 0.0025 | 0.710 ± 0.031 | 0.573 ± 0.034 | 0.453 ± 0.022 | 0.611 ± 0.032 | 0.605 ± 0.028 |
| lr3e-3 | 0.003 | 0.689 ± 0.033 | 0.540 ± 0.035 | 0.430 ± 0.032 | 0.580 ± 0.034 | 0.578 ± 0.035 |
| lr4e-3 | 0.004 | 0.679 ± 0.046 | 0.499 ± 0.045 | 0.391 ± 0.034 | 0.545 ± 0.045 | 0.536 ± 0.041 |
| lr5e-3 | 0.005 | 0.613 ± 0.067 | 0.484 ± 0.063 | 0.377 ± 0.050 | 0.520 ± 0.064 | 0.510 ± 0.063 |
